RowId,index,ra,dec,type,const,mag,name,rarad,decrad,bf,bayer,flam,spect,lum,ci,gl,comp,hyg_id,comp_primary,base,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
STAR-3966,,6.407384,-63.428929,Star,Pic,6.45,,,,,,,G3III/IV,2.309936280173185,0.66,,1,30407,30407,,,,,,,,,,,,,
STAR-3967,,6.409389,11.2565,Star,Ori,6.85,,,,,,,K0,61.65950018614822,1.082,,1,30419,30419,,,,,,,,,,,,,
STAR-3968,,6.409426,-1.41822,Star,Mon,6.72,,,,,,,B8,104.71285480508996,-0.098,,1,30420,30420,,,,,,,,,,,,,
STAR-3969,,6.410824,35.255032,Star,Aur,6.56,,,,,,,K0,64.15049325106628,1.19,,1,30424,30424,,,,,,,,,,,,,
STAR-3970,,6.412152,25.048714,Star,Gem,6.35,,,,,,,K2III,150.93848966549518,1.21,,1,30428,30428,,,,,,,,,,,,,
STAR-3971,,6.412193,-28.780112,Star,CMa,6.37,,,,,,,G2V,1.1803206356517293,0.626,NN 3394,1,30430,30430,,,,,,,,,,,,,
STAR-3972,,6.41236,-40.283979,Star,Col,6.3,,,,,,,B9V,72.31027280500616,-0.049,,1,30432,30432,,,,,,,,,,,,,
STAR-3973,,6.414653,29.707056,Star,Aur,6.7,,,,,,,B8IIIn,170.13748158991976,-0.055,,1,30444,30444,,,,,,,,,,,,,
STAR-3974,,6.414658,16.05713,Star,Ori,6.35,,,,,,,G9III,49.98043135782393,1.063,,1,30445,30445,,,,,,,,,,,,,
STAR-3975,,6.414973,49.287893,Star,Aur,4.92,,,,46Psi1Aur,Psi-1,46.0,K5Iabvar,93756200.69258812,1.905,,1,30447,30447,,,,,,,,,,,,,
STAR-3976,,6.415501,-63.828144,Star,Pic,6.26,,,,,,,B6V,137.15132259364853,-0.119,,1,30451,30451,,,,,,,,,,,,,
STAR-3977,,6.42023,32.271763,Star,Aur,6.97,,,,,,,K0,745.4182133789901,1.322,,1,30467,30467,,,,,,,,,,,,,
STAR-3978,,6.420278,7.085713,Star,Mon,6.26,,,,,,,K1Iabv SB,1863.8029723462007,0.85,,1,30468,30468,,,,,,,,,,,,,
STAR-3979,,6.421263,-0.945883,Star,Mon,5.88,,,,,,,F8V,4.365158322401658,0.564,,1,30472,30472,,,,,,,,,,,,,
STAR-3980,,6.421801,1.501516,Star,Mon,6.66,,,,,,,B9V,246.15009062337663,-0.032,,1,30474,30474,,,,,,,,,,,,,
STAR-3981,,6.424493,14.721992,Star,Ori,6.3,,,,,,,C5II,26302679.91895376,2.349,,1,30491,30491,,,,,,,,,,,,,
